,google,bing,startpage,ddg
0,smetrics.ctshirts.com,criteo-partners.tremorhub.com,criteo-partners.tremorhub.com,www.armanibeauty.fr
1,criteo-partners.tremorhub.com,www.stores-et-rideaux.com,sheinsz.ltwebstatic.com,criteo-partners.tremorhub.com
2,sheinsz.ltwebstatic.com,welcome.landbot.io,sync-t1.taboola.com,02179912.akstat.io
3,sync-t1.taboola.com,sheinsz.ltwebstatic.com,02179912.akstat.io,sync-t1.taboola.com
4,browser.events.data.microsoft.com,sync-t1.taboola.com,pixel.wp.com,pixel.wp.com
5,02179912.akstat.io,api.bamford.com,ct.pinterest.com,ct.pinterest.com
6,ct.pinterest.com,ct.pinterest.com,cdn.staticfile.org,www.macys.com
7,res.cloudinary.com,res.cloudinary.com,consentcdn.cookiebot.com,consentcdn.cookiebot.com
8,consentcdn.cookiebot.com,www.jeux-gratuits-online.org,www.z2data.com,uep.gaijin.net:8383
9,dis.criteo.com,consentcdn.cookiebot.com,fourier.aliexpress.com,dis.criteo.com
10,www.capterra.com,uep.gaijin.net:8383,web.global-e.com,trkn.us
11,encrypted-tbn0.gstatic.com,dis.criteo.com,dis.criteo.com,www.target.com
12,media.boohoo.com,www.boozyshop.fr,settings.luckyorange.net,www.boozyshop.fr
13,www.boozyshop.fr,www.lookfantastic.fr,encrypted-tbn0.gstatic.com,api.uk.exponea.com
14,analytics.optimalpeople.fr,www.epplejeck.fr,app.dailykarma.io,www.epplejeck.fr
15,client-analytics.braintreegateway.com,in.hotjar.com,www.gamecamp.gg,in.hotjar.com
16,encrypted-tbn2.gstatic.com,targeting.api.drift.com,sentryfront.banggood.com,6631903.fls.doubleclick.net
17,trackcmp.net,a.twiago.com,eaaqmyctaeaemkqce3yabaqaabrorla2-pvqfcw-fab9bffc0-clienttons-s.akamaihd.net,a.twiago.com
18,in.hotjar.com,storage.googleapis.com,in.hotjar.com,i.vimeocdn.com
19,ccu.e.leclerc,img.riskified.com,ilrorwxhliimmk5p.ldycdn.com,pro.ip-api.com
20,personalization-gdpr.samp.ext.zooplus.io,api.segment.io,www.dunelm.com,www.dillards.com
21,qfmc4asy3vxvuyzhhviq-ppij87-258346495-clientnsv4-s.akamaihd.net,684dd330.akstat.io,a.twiago.com,www.revolutionbeauty.com
22,imgs.signifyd.com,monitor.clickcease.com,pro.ip-api.com,api.rlcdn.com
23,e-leclerc.scene7.com,p.flipp.com,imgs.signifyd.com,datamilk.app
24,monitor.clickcease.com,messagebeach.alibaba.com,bacon.getcarro.com,tpt.mediaplex.com
25,p.cquotient.com,p.cquotient.com,img.riskified.com,monitor.clickcease.com
26,api.postscript.io,sm.dell.com,qfmc4asy3vxrqyxivssq-ppvzyz-db1467afa-clientnsv4-s.akamaihd.net,i6.liadm.com
27,media-cdn.printemps.com,bootstrap.api.drift.com,instafeed.nfcube.com,www.superbeaute.fr
28,tpc.googlesyndication.com,tpc.googlesyndication.com,api.eu.usercentrics.eu,p.cquotient.com
29,displaycatalog.mp.microsoft.com,cdn.trustcommander.net,dashboard.wheelio-app.com,tpc.googlesyndication.com
30,cdn.trustcommander.net,o529943.ingest.sentry.io,cdn.iubenda.com,o529943.ingest.sentry.io
31,www.facebook.com,app.qualified.com,0217991a.akstat.io,www.facebook.com
32,analytics.tiktok.com,www.facebook.com,monitor.clickcease.com,analytics.tiktok.com
33,fast.a.klaviyo.com,analytics.tiktok.com,assets.instantsearchplus.com,fast.a.klaviyo.com
34,graphql.usercentrics.eu,fast.a.klaviyo.com,messagebeach.alibaba.com,loadus.exelator.com
35,boohooamplience.a.bigcontent.io,secure.adnxs.com,sm.dell.com,beacon.walmart.com
36,eaaqmyctaeaemiabazqdakaaafrsorr5-pxmc2a-ea0c6409f-clienttons-s.akamaihd.net,graphql.usercentrics.eu,p.cquotient.com,devicebind.ebay.com
37,js.hs-banner.com,widget.us.criteo.com,collector-px46scnlxs.px-cloud.net,secure.adnxs.com
38,widget.us.criteo.com,1045.netrk.net,tpc.googlesyndication.com,graphql.usercentrics.eu
39,alb.reddit.com,sw-assets.ekomiapps.de,www.aliexpress.com,k.yves-rocher.fr
40,geo-ip-lookup-api.prod.zooplus.net,www.misterbabyfoot.com,www.circusclothing.eu,widget.us.criteo.com
41,684dd32d.akstat.io,laprairie.api.useinsider.com,fr.marinarinaldi.com,gdpr.apps.isenselabs.com
42,data.cdnbasket.net,ressources.mynoors.com,fast.a.klaviyo.com,currency.grizzlyapps.com
43,loox.io,widgets.swaven.com,www.facebook.com,sw-assets.ekomiapps.de
44,farmtoskin.com,cdn.privacy-mgmt.com,analytics.tiktok.com,data.cdnbasket.net
45,apis.google.com,auth.idealo.fr,cdn.flaconi.fr,dispawsusva.inmoment.com
46,d1lxz4vuik53pc.cloudfront.net,cdn-gateflipp.flippback.com,koi-3qnotvvfou.marketingautomation.services,widgets.swaven.com
47,bam.eu01.nr-data.net,apis.google.com,loadus.exelator.com,www.stylight.com
48,images.samsung.com,d1lxz4vuik53pc.cloudfront.net,static.targethaus.net,d1lxz4vuik53pc.cloudfront.net
49,js.smile.io,bam.eu01.nr-data.net,cc13b2bdb7bac0295023dc417101f45a.safeframe.googlesyndication.com,apis.google.com
50,labs.octoly.com,images.samsung.com,tags.bluekai.com,pixel.mediaiqdigital.com
51,preordermanager.amai.com,event.api.drift.com,secure.adnxs.com,medias.yves-rocher.fr
52,image.cdnbasket.net,web.facebook.com,graphql.usercentrics.eu,web.facebook.com
53,app.flomllr.com,js.gaijin.net,www.notino.fr,js.gaijin.net
54,v1.addthisedge.com,www.alibaba.com,o1091219.ingest.sentry.io,www.halebob.com
55,mem.gfx.ms,www.avis-verifies.com,le4rir5yka-dsn.algolia.net,dillards.attn.tv
56,02179916.akstat.io,cl.avis-verifies.com,widget.us.criteo.com,usage.trackjs.com
57,front.optimonk.com,11069834.fls.doubleclick.net,whitemarket.info,02179916.akstat.io
58,aggregator.service.usercentrics.eu,privacy-banner.shopifycloud.com,alb.reddit.com,tap.walmart.com
59,token.rubiconproject.com,public.nftstatic.com,www.imdb.com,front.optimonk.com
60,criteo-sync.teads.tv,criteo-sync.teads.tv,fr.oltly.com,public.nftstatic.com
61,portal.brandlock.io,sourcing.alibaba.com,gdpr.apps.isenselabs.com,live.4-tell.net
62,lcx-widgets.bambuser.com,www.popsilla.com,www1.grouponcdn.com,colrep.sitelabweb.com
63,download-video.akamaized.net,download-video.akamaized.net,bh.contextweb.com,criteo-sync.teads.tv
64,api.appmate.io,fcs.dellcdn.com,data.cdnbasket.net,api.appmate.io
65,img.bstn.com,cmp.osano.com,tags.rd.linksynergy.com,foursixty.com
66,p1.zemanta.com,vars.hotjar.com,atmamos.alicdn.com,cmp.osano.com
67,qfmc4asy3vxvuyzhhs2a-p2vcak-d9f2ed0fa-clientnsv4-s.akamaihd.net,uicore.dellcdn.com,cdn.privacy-mgmt.com,6493187.fls.doubleclick.net
68,vars.hotjar.com,www.boulanger.com,api.conrad.com,bk8d4asi.micpn.com
69,metrics-nl.fitanalytics.com,cdn.segment.com,auth.idealo.fr,8833435.fls.doubleclick.net
70,api-cdn.purechat.com,assets-tracking.crazyegg.com,apis.google.com,vars.hotjar.com
71,www.boulanger.com,geo-lookup.netlify.app,d1lxz4vuik53pc.cloudfront.net,assets.macysassets.com
72,eaaqmyctaeaemiabazqdakaaafrsoo2o-p4p0tt-7835ae91d-clienttons-s.akamaihd.net,cw.contentsquare.net,bam.eu01.nr-data.net,fresnel.vimeocdn.com
73,widget.trustpilot.com,widget.trustpilot.com,images.samsung.com,cas.avalon.perfdrive.com
74,readservices-b2c.powerreviews.com,passport.jlcpcb.com,social-login.oxiapps.com,target.scene7.com
